
	Exporting Textures:
		Size 5376         Width 64      Height 64     MultiBitAlpha TRUE    nColors  127      8-Bit   smokey
		Size 17664        Width 128     Height 128    MultiBitAlpha FALSE   nColors  130      8-Bit   foam_particle
		Size 16640        Width 64      Height 64     MultiBitAlpha TRUE    nColors  480      32-Bit  smoke1
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors    5      4-Bit   beach_wall_cream
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_herring_brick
		Size 4416         Width 64      Height 128    MultiBitAlpha FALSE   nColors   15      4-Bit   chop_apartdoor
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   13      4-Bit   floor1
		Size 17664        Width 128     Height 128    MultiBitAlpha FALSE   nColors  160      8-Bit   chop_wall_cream
		Size 33088        Width 256     Height 256    MultiBitAlpha FALSE   nColors   16      4-Bit   chop_road02
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   chop_paving
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_generic_neck1w
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors  238      8-Bit   skin_spec_02
		Size 33088        Width 256     Height 256    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_gen_suitbody01
		Size 16704        Width 256     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_generic_trou02
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_gen_suitarm01
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_genericwhand02
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_genericshoe01
		Size 2304         Width 32      Height 32     MultiBitAlpha TRUE    nColors   56      8-Bit   testshader01
		Size 16704        Width 256     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_gsuitvest02
		Size 448          Width 8       Height 8      MultiBitAlpha FALSE   nColors   13      4-Bit   key
		Size 832          Width 32      Height 32     MultiBitAlpha FALSE   nColors   16      4-Bit   blue_carp
		Size 832          Width 32      Height 32     MultiBitAlpha FALSE   nColors   16      4-Bit   pink_carp
		Size 4416         Width 64      Height 128    MultiBitAlpha FALSE   nColors   14      4-Bit   gal_palmbark
		Size 4416         Width 64      Height 128    MultiBitAlpha FALSE   nColors   14      4-Bit   gal_palmtop
		Size 16640        Width 64      Height 64     MultiBitAlpha FALSE   nColors >  1024   32-Bit  as_fern_leaf01
		Size 33088        Width 256     Height 256    MultiBitAlpha FALSE   nColors   16      4-Bit   separatetrou
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors   49      8-Bit   crok_vest_spec_01
		Size 66816        Width 256     Height 256    MultiBitAlpha FALSE   nColors  255      8-Bit   mv_gs_tubbsface04
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors  111      8-Bit   skin_spec_021
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   tubbs_mouth_teeth
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors  254      8-Bit   eye_dkbrown
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   newshoe
		Size 9472         Width 128     Height 64     MultiBitAlpha FALSE   nColors   55      8-Bit   mv_gs_tubbs_new_alha_e3
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   15      4-Bit   mv_gs_tubbs_shirt01
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_tubbs_chest01
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors   28      8-Bit   mv_gs_tubbs_chain01
		Size 2304         Width 32      Height 32     MultiBitAlpha FALSE   nColors  199      8-Bit   reflect_shiny_stripe_mod2
