
	Exporting Textures:
		Size 16640        Width 64      Height 64     MultiBitAlpha TRUE    nColors  480      32-Bit  smoke1
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   beach_conc_floor
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   13      4-Bit   beach_white_noise
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   beach_parquet
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   beach_parquet_edge2
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   beach_parquet_edge
		Size 448          Width 8       Height 8      MultiBitAlpha FALSE   nColors    1      4-Bit   beach_white_swatch
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   14      4-Bit   beach_slate_tile_floor
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors    5      4-Bit   beach_wall_cream
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   14      4-Bit   beach_white_tile
		Size 448          Width 16      Height 16     MultiBitAlpha FALSE   nColors   13      4-Bit   beach_white_noise_bright
		Size 2304         Width 32      Height 32     MultiBitAlpha FALSE   nColors   62      8-Bit   beach_wall_tile
		Size 9472         Width 128     Height 64     MultiBitAlpha FALSE   nColors  245      8-Bit   beach_conc_steps
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_herring_brick
		Size 33088        Width 256     Height 256    MultiBitAlpha FALSE   nColors   14      4-Bit   mv_beach_cliff01_yellow
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   15      4-Bit   soil_01
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_beach_cliff03
		Size 1344         Width 64      Height 32     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_herring_brickb
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   beach_grass
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   13      4-Bit   beach_wall_stone_yellow
		Size 33088        Width 256     Height 256    MultiBitAlpha FALSE   nColors   13      4-Bit   mv_beach_cliff04_yellow
		Size 33088        Width 256     Height 256    MultiBitAlpha FALSE   nColors   13      4-Bit   mv_beach_cliff02_yellow
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   beach_wall_stonesm_yellow
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   14      4-Bit   beach_wood_bridge
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   beach_wall_stone
		Size 448          Width 8       Height 8      MultiBitAlpha FALSE   nColors   13      4-Bit   key
		Size 2304         Width 32      Height 32     MultiBitAlpha FALSE   nColors   70      8-Bit   32x_generic
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors    7      4-Bit   spec2
		Size 2304         Width 32      Height 32     MultiBitAlpha FALSE   nColors   55      8-Bit   windows2
		Size 448          Width 16      Height 16     MultiBitAlpha FALSE   nColors   14      4-Bit   00_ld_mv_daytona_chrome
		Size 16640        Width 64      Height 64     MultiBitAlpha FALSE   nColors >  1024   32-Bit  grille1
		Size 448          Width 8       Height 8      MultiBitAlpha FALSE   nColors    1      4-Bit   as_black_railgallery
		Size 448          Width 16      Height 16     MultiBitAlpha FALSE   nColors   16      4-Bit   red_lights
		Size 17664        Width 128     Height 128    MultiBitAlpha FALSE   nColors  193      8-Bit   suitcase
		Size 3328         Width 64      Height 32     MultiBitAlpha FALSE   nColors  255      8-Bit   50_Dollars
		Size 2304         Width 32      Height 32     MultiBitAlpha TRUE    nColors   57      8-Bit   testshader01
		Size 2304         Width 32      Height 32     MultiBitAlpha FALSE   nColors   46      8-Bit   lip_spec_01
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   15      4-Bit   mouth_teeth
		Size 2304         Width 32      Height 32     MultiBitAlpha TRUE    nColors  153      8-Bit   reflect_shiny_stripe_mod
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors  226      8-Bit   skin_spec_02
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors   45      8-Bit   crok_vest_spec_01
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_generic_neck1w
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_genericwhand02
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   14      4-Bit   mv_gs_genericshoe01
		Size 2304         Width 32      Height 32     MultiBitAlpha FALSE   nColors  187      8-Bit   mv_gs_default_spec01
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   13      4-Bit   drugs_bag
		Size 33088        Width 256     Height 256    MultiBitAlpha FALSE   nColors   16      4-Bit   separatetrou
		Size 66816        Width 256     Height 256    MultiBitAlpha FALSE   nColors  253      8-Bit   mv_gs_tubbsface04
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors  107      8-Bit   skin_spec_021
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   tubbs_mouth_teeth
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors  254      8-Bit   eye_dkbrown
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   newshoe
		Size 9472         Width 128     Height 64     MultiBitAlpha FALSE   nColors   53      8-Bit   mv_gs_tubbs_new_alha_e3
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   14      4-Bit   mv_gs_tubbs_shirt01
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_tubbs_chest01
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors   28      8-Bit   mv_gs_tubbs_chain01
		Size 2304         Width 32      Height 32     MultiBitAlpha FALSE   nColors  199      8-Bit   reflect_shiny_stripe_mod2
		Size 33088        Width 256     Height 256    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_tubbs_suitbody01
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_tubbs_suitarm01
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   mv_gs_tubbshand01
		Size 5376         Width 64      Height 64     MultiBitAlpha TRUE    nColors   50      8-Bit   spec1
		Size 5376         Width 64      Height 64     MultiBitAlpha TRUE    nColors  142      8-Bit   spec3
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   13      4-Bit   white_noise_dirt
		Size 4416         Width 64      Height 128    MultiBitAlpha FALSE   nColors   13      4-Bit   beach_palmtop_day
		Size 4416         Width 64      Height 128    MultiBitAlpha FALSE   nColors   13      4-Bit   beach_palmbark_day
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors   23      8-Bit   as_fern_leaf01
		Size 448          Width 8       Height 8      MultiBitAlpha TRUE    nColors    1      4-Bit   beach_glass_windows
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   16      4-Bit   beach_carpetbl
		Size 832          Width 32      Height 32     MultiBitAlpha FALSE   nColors   13      4-Bit   beach_white_rail
		Size 2368         Width 64      Height 64     MultiBitAlpha TRUE    nColors   16      4-Bit   water2
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   woodslat
		Size 448          Width 8       Height 8      MultiBitAlpha FALSE   nColors    1      4-Bit   as_black_artgallery
		Size 4352         Width 32      Height 32     MultiBitAlpha FALSE   nColors  902      32-Bit  beachball
		Size 2368         Width 64      Height 64     MultiBitAlpha FALSE   nColors   14      4-Bit   metal_horiz_tile
		Size 4416         Width 128     Height 64     MultiBitAlpha FALSE   nColors   16      4-Bit   metal
		Size 17664        Width 128     Height 128    MultiBitAlpha FALSE   nColors   23      8-Bit   shrub
		Size 8512         Width 128     Height 128    MultiBitAlpha FALSE   nColors   15      4-Bit   rock
		Size 5376         Width 64      Height 64     MultiBitAlpha FALSE   nColors   21      8-Bit   leaves7
		Size 448          Width 8       Height 8      MultiBitAlpha FALSE   nColors    1      4-Bit   beach_mauve_swatch
		Size 448          Width 16      Height 16     MultiBitAlpha FALSE   nColors   13      4-Bit   beach_fence_black
		Size 4352         Width 32      Height 32     MultiBitAlpha TRUE    nColors  866      32-Bit  beach_fence_circle
		Size 2368         Width 128     Height 32     MultiBitAlpha FALSE   nColors   16      4-Bit   beach_gutter
